id,name,legacy_id,email,phone,url,fax,industry,accountType,contacts,contact,territory,tags,address_1,address_2,address_3,city,state,postalCode,country,Population,"Project Lead Assigned",Competitor(s)
1-accounts,"Arbor Day Foundation",,,,,,,"New Customer","1-contacts, 65909-contacts","Chris Apple",,,,,,Lincoln,NE,,US,,,
5-accounts,"City of Blair",,,,,,,"New Customer",,,,,,,,Blair,NE,,US,,,
9-accounts,"City of Davenport",,,,,,,"New Customer",65-contacts,"Rob Henry",,,,,,Davenport,IA,,US,,,Cartegraph
13-accounts,"City of Mendota Heights",,,,,,,"New Customer","61-contacts, 18253-contacts","John Mazzitello",,,,,,"Mendota Heights",MN,,US,,,
17-accounts,"City of Victoria",,,,,,,"New Customer","57-contacts, 18385-contacts, 18765-contacts, 22349-contacts, 22921-contacts","Cara Geheren",,,,,,Victoria,MN,,US,"1,214",,
21-accounts,"City of Littleton, CO",,,,,,Municipality,"New Customer",25-contacts,"Fred Bromberger",,,,,,,CO,,US,44275,,
25-accounts,"City of Wayne",,,,,,Municipality,"New Customer","141-contacts, 145-contacts, 17345-contacts, 17809-contacts, 22429-contacts, 23329-contacts","Brian Kesting",,,"306 Pearl St",,,Wayne,NE,68787,US,5661,,
29-accounts,"City of Gering",,,,,,Municipality,"New Customer","149-contacts, 153-contacts, 157-contacts","Paul Snarr",,,"1025 P ST",,,Gering,NE,69341,US,,,
33-accounts,"City of Lexington, TN",,,,,,Municipality,"New Customer","19925-contacts, 84689-contacts, 84693-contacts, 84701-contacts","Sue Wood",,,,,,Lexington,TN,,US,7857,,
37-accounts,"Lewis & Clark NRD",,,"+1 4022546758",http://www.lcnrd.org/,,"Natural and Conservation Districts","New Customer","161-contacts, 165-contacts","Tom Moser",,,"608 N Robinson Ave",,,Hartington,NE,68739,US,,,
41-accounts,"Nebraska Global",,,,,,,"New Customer",9-contacts,"Patrick Smith",,,,,,Lincoln,NE,,US,,,
49-accounts,"City of Solon IA",,,,,,,"New Customer",37-contacts,"Scott Kleppe",,,,,,Solon,IA,,US,,,
53-accounts,"Clay Rural Water System",,,,,,,"New Customer",45-contacts,"Greg Merrigan",,,,,,Waconda,SD,,US,,,
57-accounts,"City of Lincoln, NE",,,,,,Municipality,"New Customer",13-contacts,"Tim Pratt",,,,,,Lincoln,NE,,US,"1,190",,
